date,asset,price,asset_name,asset_type,quantity,asset_value,portfolio_id,portfolio_value,daily_return,portfolio_value_lag_1,portfolio_value_lag_3,portfolio_value_lag_7,daily_return_lag_1,daily_return_lag_3,daily_return_lag_7,portfolio_value_rolling_mean_7,portfolio_value_rolling_std_7,portfolio_value_rolling_mean_14,portfolio_value_rolling_std_14,portfolio_value_rolling_mean_30,portfolio_value_rolling_std_30,daily_return_rolling_mean_7,daily_return_rolling_std_7,daily_return_rolling_mean_14,daily_return_rolling_std_14,daily_return_rolling_mean_30,daily_return_rolling_std_30,day,month,quarter,year,day_of_week,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,asset_weight,price_quantity_interaction,total_asset_value,average_asset_value,max_asset_value,min_asset_value,asset_count
2023-01-02,Stock A,172.15,Stock A,stock,1,172.15,PORTFOLIO_001,172.15,0.0,623.9399999999999,623.9399999999999,624.0699999999999,0.0,0.0,0.0,172.15,298.2514215509183,172.15,337.435409595527,172.15,369.27444583318015,0.0,0.8848516517212751,0.0,1.1076331093171516,0.0,1.1360681108500899,2,1,1,2023,0,1,0,0,0,0,1.0,172.15,172.15,172.15,172.15,172.15,1
2023-01-03,Bond A,198.61,Bond A,bond,1,198.61,PORTFOLIO_001,1140.41,5.624513505663666,172.15,623.9399999999999,624.0699999999999,0.0,0.0,0.0,656.2800000000001,684.6632119516865,656.2800000000001,684.6632119516865,656.2800000000001,684.6632119516865,2.812256752831833,3.977131640730099,2.812256752831833,3.977131640730099,2.812256752831833,3.977131640730099,3,1,1,2023,1,1,0,0,0,0,0.17415666295455143,198.61,1140.41,380.1366666666667,488.57,198.61,3
2023-01-03,Commodity A,453.23,Commodity A,commodity,1,453.23,PORTFOLIO_001,1140.41,0.0,1140.41,623.9399999999999,624.0699999999999,5.624513505663666,0.0,0.0,817.6566666666668,559.0251716455471,817.6566666666668,559.0251716455471,817.6566666666668,559.0251716455471,1.874837835221222,3.2473143865556033,1.874837835221222,3.2473143865556033,1.874837835221222,3.2473143865556033,3,1,1,2023,1,1,0,0,0,0,0.39742724107996247,453.23,1140.41,380.1366666666667,488.57,198.61,3
2023-01-03,Stock A,488.57,Stock A,stock,1,488.57,PORTFOLIO_001,1140.41,0.0,1140.41,172.15,624.0699999999999,0.0,0.0,0.0,898.345,484.13,898.345,484.13,898.345,484.13,1.4061283764159165,2.812256752831833,1.4061283764159165,2.812256752831833,1.4061283764159165,2.812256752831833,3,1,1,2023,1,1,0,0,0,0,0.4284160959654861,488.57,1140.41,380.1366666666667,488.57,198.61,3
2023-01-04,Bond A,142.24,Bond A,bond,1,142.24,PORTFOLIO_001,142.24,-0.8752729281574171,1140.41,1140.41,624.0699999999999,0.0,5.624513505663666,0.0,747.124,538.6328497965939,747.124,538.6328497965939,747.124,538.6328497965939,0.9498481155012497,2.6405585423141,0.9498481155012497,2.6405585423141,0.9498481155012497,2.6405585423141,4,1,1,2023,2,1,0,0,0,0,1.0,142.24,142.24,142.24,142.24,142.24,1
2023-01-05,Commodity A,163.77,Commodity A,commodity,1,163.77,PORTFOLIO_001,163.77,0.1513638920134983,142.24,1140.41,624.0699999999999,-0.8752729281574171,0.0,0.0,649.8983333333334,537.4172113513547,649.8983333333334,537.4172113513547,649.8983333333334,537.4172113513547,0.8167674115866245,2.3841775048927976,0.8167674115866245,2.3841775048927976,0.8167674115866245,2.3841775048927976,5,1,1,2023,3,1,0,0,0,0,1.0,163.77,163.77,163.77,163.77,163.77,1
2023-01-07,Bond B,356.34,Bond B,bond,1,356.34,PORTFOLIO_001,776.76,3.742993222201868,163.77,1140.41,624.0699999999999,0.1513638920134983,0.0,0.0,668.0214285714286,492.93019311151187,668.0214285714286,492.93019311151187,668.0214285714286,492.93019311151187,1.234799670245945,2.4413470524806713,1.234799670245945,2.4413470524806713,1.234799670245945,2.4413470524806713,7,1,1,2023,5,1,0,0,0,0,0.4587517379885679,356.34,776.76,388.38,420.42,356.34,2
2023-01-07,Commodity A,420.42,Commodity A,commodity,1,420.42,PORTFOLIO_001,776.76,0.0,776.76,142.24,172.15,3.742993222201868,-0.8752729281574171,0.0,754.3942857142857,441.8888928549477,681.61375,457.98114730186063,681.61375,457.98114730186063,1.234799670245945,2.4413470524806713,1.0804497114652019,2.302023691431114,1.0804497114652019,2.302023691431114,7,1,1,2023,5,1,0,0,0,0,0.5412482620114322,420.42,776.76,388.38,420.42,356.34,2
2023-01-08,Bond A,146.58,Bond A,bond,1,146.58,PORTFOLIO_001,242.0,-0.6884494567176477,776.76,163.77,1140.41,0.0,0.1513638920134983,5.624513505663666,626.0500000000001,441.5557240032112,632.7677777777777,452.7711904421973,632.7677777777777,452.7711904421973,0.3329478184771859,1.5544020765594324,0.8839053594448852,2.232614181228172,0.8839053594448852,2.232614181228172,8,1,1,2023,6,1,0,0,0,0,0.605702479338843,146.58,242.0,121.0,146.58,95.42,2
2023-01-08,Stock A,95.42,Stock A,stock,1,95.42,PORTFOLIO_001,242.0,0.0,242.0,776.76,1140.41,-0.6884494567176477,3.742993222201868,0.0,497.7057142857143,395.27440839064127,593.691,444.4026599692871,593.691,444.4026599692871,0.3329478184771859,1.5544020765594324,0.7955148235003967,2.1234062905775546,0.7955148235003967,2.1234062905775546,8,1,1,2023,6,1,0,0,0,0,0.39429752066115703,95.42,242.0,121.0,146.58,95.42,2
2023-01-10,Bond B,228.94,Bond B,bond,1,228.94,PORTFOLIO_001,397.22,0.641404958677686,242.0,776.76,1140.41,0.0,0.0,0.0,391.5357142857143,275.55254948661144,575.83,425.7387935107629,575.83,425.7387935107629,0.4245770982882839,1.550403978363634,0.7815048357892412,2.014975911689823,0.7815048357892412,2.014975911689823,10,1,1,2023,1,2,0,0,0,0,0.5763556719198428,228.94,397.22,132.40666666666667,228.94,81.06,3
2023-01-10,Bond B,87.22,Bond B,bond,1,87.22,PORTFOLIO_001,397.22,0.0,397.22,242.0,142.24,0.641404958677686,-0.6884494567176477,-0.8752729281574171,427.9614285714286,253.03865794436575,560.9458333333333,409.18747360322243,560.9458333333333,409.18747360322243,0.5496160880250577,1.4608061333395088,0.7163794328068045,1.934404612134061,0.7163794328068045,1.934404612134061,10,1,1,2023,1,2,0,0,0,0,0.21957605357232765,87.22,397.22,132.40666666666667,228.94,81.06,3
2023-01-10,Stock B,81.06,Stock B,stock,1,81.06,PORTFOLIO_001,397.22,0.0,397.22,242.0,163.77,0.0,0.0,0.1513638920134983,461.3114285714286,226.39704852526768,548.3515384615386,394.3900788104368,548.3515384615386,394.3900788104368,0.5279926748802722,1.4687822270977686,0.6612733225908964,1.8626785338518277,0.6612733225908964,1.8626785338518277,10,1,1,2023,1,2,0,0,0,0,0.2040682745078294,81.06,397.22,132.40666666666667,228.94,81.06,3
